avalanche_atlas_id,obs_date_time,data.relative_size,data.path_elevation
793,2019-02-02 14:00:00,1.0,2700
793,2019-02-08 09:00:00,1.5,1800
784,2019-02-28 06:00:00,3.0,2800
807,2019-03-03 06:00:00,2.0,2720
807,2019-03-03 06:00:00,2.0,2650
809,2019-02-08 10:00:00,1.0,2630
808,2019-02-08 13:00:00,1.0,3000
809,2019-02-20 12:00:00,2.0,2320
782,2019-02-20 11:00:00,1.0,3600
793,2019-03-18 14:30:00,2.0,3000
790,2019-03-18 15:00:00,2.0,3400
824,2019-03-19 10:00:00,3.0,3600
825,2019-03-19 10:00:00,2.0,3800
826,2019-03-19 10:00:00,1.0,3200
827,2019-03-19 10:00:00,1.0,3000
811,2019-03-19 10:15:00,4.0,4000
782,2019-03-19 10:15:00,3.0,3700
790,2020-01-25 16:00:00,1.0,3000
849,2020-01-15 12:00:00,3.0,2800
971,2020-01-17 11:00:00,2.0,3200
994,2020-01-14 13:00:00,2.0,2500
993,2020-01-14 13:00:00,1.0,3000
836,2020-01-14 14:00:00,2.0,2500
864,2020-01-31 13:30:00,2.0,2000
864,2020-01-31 13:30:00,2.0,2000
1010,2020-02-02 11:00:00,2.0,2600
1011,2020-02-02 11:00:00,2.0,2000
814,2020-02-02 13:00:00,2.0,3200
817,2020-02-02 14:00:00,2.0,1600
775,2020-02-02 15:00:00,1.0,3000
793,2020-02-06 10:00:00,1.0,1600
794,2020-02-06 10:00:00,2.0,1200
857,2020-02-09 17:00:00,3.0,2900
863,2020-02-09 17:00:00,1.0,2000
775,2020-02-11 14:00:00,3.0,3200
784,2020-02-11 14:00:00,3.0,2800
938,2020-02-11 16:00:00,2.0,2600
790,2020-02-12 12:00:00,2.0,2800
943,2020-02-24 10:00:00,2.0,2200
832,2020-02-24 10:00:00,1.0,2600
775,2020-02-26 06:00:00,2.0,3200
793,2020-02-27 14:00:00,3.0,3000
808,2020-02-29 10:00:00,1.0,2800
776,2020-02-29 11:00:00,1.0,200
817,2020-02-29 12:00:00,1.0,1500
818,2020-02-29 10:00:00,1.0,1600
808,2020-03-07 15:30:00,1.0,2700
971,2020-04-19 17:00:00,2.0,2000
824,2020-04-17 13:00:00,2.0,3600
845,2020-04-11 18:00:00,3.0,2700
807,2020-05-01 06:00:00,2.0,2600
816,2020-05-01 06:00:00,3.0,1400'
840,2020-11-13 11:00:00,3.5,3000
950,2020-11-10 12:23:00,3.0,3500
784,2021-01-09 12:23:00,1.0,2600
843,2020-12-27 12:23:00,2.0,3100
876,2021-01-10 12:23:00,1.0,2400
849,2020-12-25 12:23:00,1.0,2200
939,2021-01-03 12:23:00,1.0,2100
939,2021-01-08 13:13:00,1.0,2700
837,2021-01-19 11:00:00,1.0,2600
972,2021-01-21 10:31:00,3.0,3300
824,2021-01-21 10:33:00,3.0,3000
917,2021-01-26 12:23:00,4.0,2000
935,2021-01-26 12:23:00,2.0,2600
847,2021-01-31 10:23:00,2.0,2400
876,2021-02-02 12:46:00,1.0,2600
849,2021-01-27 12:34:00,1.0,2500
876,2021-01-30 10:00:00,1.0,2600
790,2021-02-09 15:40:00,2.0,2600
